nome_personagem,nivel,raca,classe,forca,destreza,constituicao,sabedoria,inteligencia,carisma
Sazza Del'Vyre,3,Orc,Monge,10,16,19,8,11,17
Voss Ravengard,3,Dragonborn,Paladino,16,15,16,11,17,13
Orin Ansur,7,Anão,Paladino,13,19,15,19,14,8
Roah Del'Vyre,2,Tiefling,Patrulheiro,14,15,8,8,14,11
Blurg Firebrand,1,Tiefling,Druida,19,14,17,9,9,11
Dror Sunstrider,9,Halfling,Guerreiro,17,12,19,9,14,18
Minthara Stoutbeard,9,Humano,Feiticeiro,9,10,16,11,9,15
Kagha Dekarios,7,Orc,Ladino,18,19,9,15,11,9
Elminster Anchev,7,Anão,Bardo,17,16,10,9,8,8
Kagha Sunstrider,3,Tiefling,Bardo,13,14,9,16,12,14
Danis Sunstrider,10,Halfling,Guerreiro,13,18,15,19,8,13
Abdirak Swiftfoot,2,Elfo,Clérigo,9,17,9,16,11,12
Roah Dekarios,11,Dragonborn,Mago,9,17,17,9,16,19
Elminster Del'Vyre,7,Elfo,Paladino,9,15,9,8,19,15
Ketheric Anchev,9,Dragonborn,Bardo,17,13,8,17,15,18
Barcus Nightbreeze,1,Elfo,Clérigo,19,19,14,17,13,9
Roah Spellweaver,4,Halfling,Feiticeiro,8,18,19,16,15,9
Wyll Starseeker,6,Anão,Patrulheiro,12,12,9,9,12,16
Minthara Stonefoot,7,Humano,Guerreiro,15,15,17,15,14,8
Gale Sunstrider,10,Dragonborn,Guerreiro,9,10,12,10,15,13
Volothamp Goldseeker,7,Orc,Bruxo,12,19,12,8,14,10
Omeluum Starseeker,10,Meio-Elfo,Guerreiro,19,14,10,18,11,12
Danis Silverfrond,2,Anão,Ladino,15,9,10,8,12,15
Raphael Ravengard,4,Anão,Bruxo,17,10,19,17,17,14
Jaheira Stonefoot,5,Halfling,Guerreiro,12,19,10,9,13,19
Rath Brightwood,12,Meio-Elfo,Monge,9,9,13,14,19,11
Alfira Nightbreeze,1,Githyanki,Ladino,10,12,11,19,18,15
Blurg Nightbreeze,1,Anão,Monge,13,14,10,13,13,18
Lae'zel Windrunner,10,Orc,Monge,18,18,9,19,16,18
Abdirak Cliffgate,3,Anão,Bruxo,18,17,10,18,17,17
Raphael Ravengard,10,Gnomo,Paladino,12,18,11,9,9,18
Lae'zel Nightbreeze,3,Dragonborn,Guerreiro,18,18,13,11,13,9
Blurg Swiftfoot,12,Tiefling,Bardo,11,18,11,9,10,14
Mizora Stoutbeard,8,Anão,Clérigo,11,17,15,8,9,12
Danis Hallowtide,9,Anão,Druida,12,8,10,19,13,18
Bex Hallowtide,11,Halfling,Druida,9,17,19,10,11,13
Lae'zel Cliffgate,12,Orc,Bruxo,16,16,10,11,12,10
Lae'zel Stonefoot,1,Halfling,Ladino,9,8,10,17,12,18
Wyll Goldseeker,11,Humano,Monge,17,8,15,12,10,17
Aradin Del'Vyre,2,Dragonborn,Paladino,9,19,11,12,19,14
Viconia Darkweaver,10,Orc,Ladino,17,17,8,14,11,14
Aradin Windrunner,2,Halfling,Feiticeiro,16,15,9,17,10,9
Zevlor Firebrand,4,Meio-Elfo,Bruxo,10,13,17,15,14,8
Brem Dekarios,2,Meio-Elfo,Mago,17,13,9,16,8,17
Minsc Moonbreeze,7,Anão,Clérigo,14,19,10,19,13,9
Gale Cliffgate,9,Tiefling,Feiticeiro,11,16,13,14,11,19
Zevlor Darkweaver,7,Halfling,Paladino,13,11,15,12,8,15
Rath Dekarios,12,Humano,Feiticeiro,11,15,19,16,8,18
Blurg Firebrand,6,Halfling,Ladino,17,11,8,15,12,17
Omeluum Brightwood,10,Halfling,Druida,14,9,16,17,12,10
Brem Ravengard,1,Gnomo,Paladino,8,18,8,16,17,18
Zevlor Silverfrond,11,Tiefling,Monge,10,15,17,17,14,11
Lae'zel Starseeker,10,Halfling,Bardo,10,19,9,15,19,15
Shadowheart Stormwind,9,Elfo,Guerreiro,8,14,10,13,11,10
Barcus Ravengard,5,Elfo,Bardo,13,11,14,11,16,13
Dror Nightbreeze,11,Anão,Bruxo,18,16,16,16,11,9
Viconia Shadowdancer,5,Humano,Feiticeiro,16,16,10,19,14,10
Wyll Darkweaver,6,Tiefling,Mago,15,15,15,16,12,8
Orin Bloodaxe,9,Humano,Patrulheiro,18,8,16,17,12,16
Lae'zel Nightbreeze,8,Meio-Elfo,Mago,14,14,17,17,13,11
Aradin Shadowdancer,8,Orc,Monge,17,12,14,16,15,13
Sazza Firebrand,8,Tiefling,Mago,15,14,11,17,12,14
Shadowheart Windrunner,1,Gnomo,Clérigo,13,19,11,10,10,9
Orin Dekarios,1,Tiefling,Patrulheiro,16,16,11,18,13,15
Viconia Hallowtide,8,Halfling,Feiticeiro,10,9,13,19,19,19
Jaheira Shadowdancer,5,Dragonborn,Bruxo,17,18,11,10,9,16
Abdirak Sunstrider,9,Gnomo,Guerreiro,17,11,12,18,19,17
Karlach Windrunner,2,Anão,Ladino,16,11,16,13,19,18
Lae'zel Stonefoot,9,Humano,Bardo,11,9,19,13,15,9
Abdirak Windrunner,12,Elfo,Feiticeiro,14,10,14,13,15,12
Wyll Stonefoot,8,Gnomo,Clérigo,16,18,15,12,10,9
Alfira Stoutbeard,9,Anão,Guerreiro,9,15,12,12,19,18
Barcus Spellweaver,4,Meio-Elfo,Clérigo,9,19,12,9,15,12
Mizora Shadowdancer,1,Tiefling,Monge,16,16,18,14,16,14
Barcus Starseeker,1,Tiefling,Mago,19,13,14,19,12,13
Sarevok Swiftfoot,5,Elfo,Guerreiro,10,17,18,11,12,11
Astarion Swiftfoot,2,Dragonborn,Paladino,16,9,19,10,13,9
Abdirak Anchev,8,Humano,Paladino,12,9,15,15,14,14
Gortash Brightwood,10,Orc,Bardo,13,14,16,11,10,19
Sazza Spellweaver,11,Tiefling,Mago,9,15,9,18,12,17
Blurg Ironfist,5,Orc,Guerreiro,15,15,10,11,8,16
Viconia Swiftfoot,5,Humano,Bardo,18,13,19,15,18,8
Omeluum Windrunner,2,Meio-Elfo,Druida,16,17,19,8,17,10
Ketheric Nightbreeze,7,Meio-Elfo,Ladino,9,15,9,16,12,14
Gale Spellweaver,8,Orc,Monge,13,8,17,14,11,16
Mizora Dekarios,10,Elfo,Bardo,13,16,14,19,8,12
Lae'zel Shadowdancer,1,Orc,Feiticeiro,15,19,19,9,14,14
Minthara Goldseeker,2,Halfling,Druida,17,8,9,18,8,17
Karlach Firebrand,10,Anão,Mago,19,10,19,19,15,14
Cora Nightbreeze,4,Gnomo,Ladino,12,19,9,13,17,11
Minthara Stonefoot,5,Elfo,Monge,16,16,9,15,19,12
Shadowheart Ravengard,2,Anão,Patrulheiro,8,18,19,18,9,9
Ketheric Cliffgate,1,Tiefling,Clérigo,16,12,11,12,17,15
Rath Spellweaver,9,Humano,Patrulheiro,17,16,8,13,19,19
Shadowheart Ansur,1,Meio-Elfo,Mago,14,16,9,19,12,8
Barcus Nightbreeze,4,Humano,Clérigo,11,13,10,17,13,9
Astarion Darkweaver,2,Elfo,Bardo,10,18,14,15,16,19
Blurg Dekarios,11,Githyanki,Feiticeiro,17,8,17,13,14,10
Minsc Spellweaver,4,Orc,Druida,18,17,8,19,13,14
Elminster Brightwood,8,Halfling,Druida,13,14,13,16,12,13
Minsc Sunstrider,8,Anão,Patrulheiro,19,13,10,19,13,14
Viconia Anchev,11,Anão,Guerreiro,8,16,10,16,18,18
Orin Stoutbeard,12,Dragonborn,Ladino,10,14,11,16,11,12
Brem Firebrand,9,Meio-Elfo,Guerreiro,9,19,11,13,8,11
Sazza Hallowtide,11,Anão,Guerreiro,18,18,14,19,19,14
Voss Cliffgate,12,Elfo,Bardo,16,19,10,19,16,10
Aradin Ansur,5,Gnomo,Bruxo,10,11,15,16,18,17
Zevlor Firebrand,7,Githyanki,Guerreiro,9,14,15,10,12,14
Karlach Starseeker,3,Anão,Feiticeiro,11,9,18,12,15,9
Gortash Hallowtide,10,Gnomo,Bruxo,9,13,14,9,14,19
Viconia Nightbreeze,4,Anão,Bardo,8,13,9,19,15,19
Minsc Spellweaver,10,Elfo,Ladino,13,9,12,15,8,15
Raphael Anchev,9,Gnomo,Druida,17,11,13,18,16,19
Sarevok Brightwood,10,Tiefling,Bardo,15,15,19,11,8,13
Voss Brightwood,10,Anão,Patrulheiro,17,15,17,13,10,19
Voss Silverfrond,12,Tiefling,Monge,17,15,11,13,15,10
Astarion Cliffgate,1,Dragonborn,Feiticeiro,9,15,17,12,19,10
Rath Cliffgate,2,Meio-Elfo,Mago,16,8,12,19,18,12
Danis Goldseeker,5,Elfo,Bruxo,10,9,16,19,8,10
Ragzlin Goldseeker,3,Halfling,Clérigo,15,19,18,8,8,13
Jaheira Stonefoot,2,Elfo,Mago,19,11,14,18,13,9
Viconia Del'Vyre,1,Orc,Guerreiro,15,19,9,14,12,15
Blurg Spellweaver,10,Halfling,Ladino,10,16,18,17,18,18
Gortash Spellweaver,3,Orc,Patrulheiro,10,10,8,15,13,19
Aradin Moonbreeze,1,Gnomo,Clérigo,19,13,9,8,10,18
Voss Shadowdancer,12,Dragonborn,Bardo,13,14,10,17,17,16
Bex Firebrand,1,Gnomo,Druida,8,15,18,14,19,14
Blurg Silverfrond,12,Anão,Bardo,11,14,9,11,17,10
Karlach Starseeker,1,Meio-Elfo,Bardo,8,10,18,13,13,18
Alfira Ansur,8,Elfo,Feiticeiro,10,13,10,16,9,17
Gortash Spellweaver,3,Humano,Monge,16,12,17,12,15,11
Abdirak Del'Vyre,11,Elfo,Patrulheiro,12,19,18,15,19,19
Wyll Firebrand,1,Elfo,Patrulheiro,19,17,18,12,13,17
Roah Dekarios,7,Halfling,Guerreiro,12,11,19,9,11,9
Roah Dekarios,10,Githyanki,Guerreiro,18,8,19,11,11,16
Volothamp Stormwind,3,Humano,Mago,11,14,16,9,18,12
Rath Spellweaver,8,Anão,Patrulheiro,10,15,11,14,14,19
Jaheira Darkweaver,4,Orc,Druida,12,9,19,14,10,9
Kagha Ironfist,4,Tiefling,Guerreiro,18,14,16,10,18,17
Rath Goldseeker,5,Orc,Ladino,11,13,18,14,10,13
Gortash Del'Vyre,6,Meio-Elfo,Monge,15,12,10,8,13,14
Dammon Stoutbeard,7,Dragonborn,Mago,11,11,19,8,16,9
Sazza Bloodaxe,4,Meio-Elfo,Clérigo,18,9,8,16,8,8
Mizora Ansur,8,Dragonborn,Feiticeiro,19,17,18,13,12,14
Cora Bloodaxe,6,Elfo,Bruxo,15,13,12,19,8,8
Orin Anchev,1,Halfling,Feiticeiro,13,12,17,12,8,10
Mizora Starseeker,1,Anão,Druida,19,9,17,13,10,11
Roah Dekarios,9,Githyanki,Clérigo,18,17,9,13,10,9
Elminster Sunstrider,10,Meio-Elfo,Ladino,12,14,11,8,11,14
Mizora Darkweaver,6,Halfling,Monge,11,13,9,12,10,12
Shadowheart Cliffgate,10,Orc,Monge,11,19,9,16,13,8
Gortash Nightbreeze,8,Githyanki,Druida,19,18,10,11,19,19
Rath Ansur,7,Gnomo,Bardo,11,16,12,10,11,19
Rath Spellweaver,12,Elfo,Paladino,18,18,11,8,15,15
Kagha Stoutbeard,6,Humano,Monge,16,17,9,9,8,17
Lae'zel Darkweaver,4,Humano,Patrulheiro,11,12,18,10,15,14
Lae'zel Stonefoot,7,Tiefling,Feiticeiro,19,16,17,11,18,11
Gale Ansur,9,Elfo,Paladino,16,16,9,14,8,9
Halsin Ravengard,11,Tiefling,Patrulheiro,17,8,13,13,18,14
Jaheira Shadowdancer,10,Humano,Bardo,13,12,14,18,8,18
Orin Cliffgate,10,Anão,Bardo,17,16,19,15,14,9
Ragzlin Stoutbeard,7,Orc,Bardo,14,14,17,16,8,13
Mizora Silverfrond,1,Anão,Guerreiro,19,13,13,13,16,8
Aradin Shadowdancer,10,Halfling,Bruxo,17,13,14,14,15,14
Kagha Del'Vyre,9,Orc,Bardo,10,18,8,11,8,14
Nere Darkweaver,4,Humano,Patrulheiro,15,14,13,9,9,19
Omeluum Moonbreeze,3,Tiefling,Patrulheiro,10,8,18,16,9,11
Ragzlin Shadowdancer,4,Elfo,Mago,8,11,10,16,9,11
Sazza Ironfist,4,Elfo,Feiticeiro,17,8,8,11,13,17
Mizora Swiftfoot,10,Dragonborn,Bruxo,19,13,15,19,11,12
Blurg Nightbreeze,11,Githyanki,Feiticeiro,12,11,11,10,15,9
Nere Goldseeker,2,Gnomo,Druida,9,8,17,17,8,16
Mizora Dekarios,12,Humano,Druida,17,16,15,18,17,17
Wyll Moonbreeze,1,Humano,Bruxo,13,19,17,13,11,11
Danis Starseeker,12,Tiefling,Clérigo,17,11,18,10,17,18
Shadowheart Anchev,10,Dragonborn,Guerreiro,16,19,11,8,18,16
Minthara Sunstrider,12,Meio-Elfo,Paladino,8,13,11,11,12,10
Karlach Windrunner,1,Githyanki,Druida,11,14,19,8,16,16
Minthara Darkweaver,8,Anão,Bardo,8,15,17,9,12,8
Mizora Nightbreeze,2,Anão,Druida,8,19,11,10,18,14
Sazza Ravengard,12,Meio-Elfo,Bardo,15,18,13,15,10,11
Ketheric Stoutbeard,10,Dragonborn,Feiticeiro,18,16,16,17,18,14
Zevlor Hallowtide,5,Githyanki,Patrulheiro,9,16,12,11,11,17
Omeluum Bloodaxe,12,Humano,Bardo,8,15,19,11,17,13
Brem Sunstrider,4,Elfo,Bardo,18,17,17,17,14,11
Orin Starseeker,8,Humano,Guerreiro,15,18,15,16,8,11
Ragzlin Del'Vyre,2,Anão,Mago,11,19,15,14,18,15
Jaheira Stormwind,10,Orc,Bardo,10,19,11,9,13,14
Karlach Shadowdancer,9,Tiefling,Paladino,19,10,18,10,15,11
Ragzlin Starseeker,7,Tiefling,Clérigo,11,19,17,11,8,18
Wyll Darkweaver,7,Gnomo,Guerreiro,18,9,16,11,15,13
Sarevok Darkweaver,1,Halfling,Feiticeiro,12,12,16,17,14,13
Shadowheart Stormwind,12,Anão,Mago,8,8,12,15,8,8
Nere Goldseeker,2,Dragonborn,Clérigo,18,10,13,17,16,9
Zevlor Shadowdancer,4,Tiefling,Monge,8,8,12,17,18,11
Omeluum Stoutbeard,4,Orc,Patrulheiro,10,10,10,13,10,13
Omeluum Ansur,11,Humano,Ladino,13,11,18,10,9,13
Abdirak Spellweaver,3,Gnomo,Patrulheiro,8,14,15,18,14,8
Nere Moonbreeze,7,Elfo,Monge,18,19,16,16,18,15
Karlach Stonefoot,12,Anão,Clérigo,19,19,11,17,10,9
Barcus Ironfist,8,Halfling,Bruxo,9,12,16,15,8,12
Viconia Ravengard,2,Dragonborn,Patrulheiro,19,12,16,16,17,11
Minthara Moonbreeze,4,Gnomo,Druida,14,8,14,12,10,12
Rath Spellweaver,3,Elfo,Paladino,8,15,15,10,13,12
Sazza Cliffgate,2,Halfling,Monge,14,11,10,11,10,17
Lae'zel Ansur,12,Halfling,Paladino,11,17,12,19,12,15
Jaheira Ravengard,6,Gnomo,Guerreiro,17,12,10,12,16,17
Cora Nightbreeze,4,Humano,Monge,13,9,14,16,14,14
Abdirak Bloodaxe,6,Dragonborn,Bardo,15,19,13,16,9,19
Sarevok Ravengard,2,Meio-Elfo,Bruxo,16,8,18,10,8,16
Abdirak Windrunner,12,Halfling,Mago,13,16,10,14,14,19
Ketheric Sunstrider,4,Tiefling,Mago,19,9,16,13,11,18
Rath Ansur,11,Meio-Elfo,Ladino,18,13,19,11,18,8
Volothamp Stormwind,6,Orc,Ladino,16,8,8,12,14,13
Roah Shadowdancer,5,Gnomo,Bardo,11,8,17,17,13,13
Mizora Brightwood,3,Halfling,Paladino,13,16,10,9,14,9
Rath Darkweaver,8,Tiefling,Feiticeiro,15,11,18,18,11,18
Sarevok Windrunner,7,Orc,Guerreiro,16,16,17,14,10,15
Omeluum Ravengard,3,Meio-Elfo,Druida,10,18,18,11,19,13
Wyll Anchev,6,Elfo,Ladino,9,12,14,9,12,18
Karlach Firebrand,4,Anão,Monge,13,14,10,18,10,17
Blurg Hallowtide,11,Meio-Elfo,Patrulheiro,11,8,10,13,10,16
Jaheira Dekarios,5,Anão,Clérigo,8,13,9,18,11,17
Dror Ansur,11,Tiefling,Bruxo,15,15,16,19,15,12
Zevlor Silverfrond,5,Halfling,Feiticeiro,16,8,18,9,9,14
Minsc Goldseeker,7,Anão,Monge,16,16,11,17,11,13
Ragzlin Windrunner,11,Gnomo,Patrulheiro,9,10,17,9,18,18
Gortash Hallowtide,5,Tiefling,Paladino,16,8,13,14,10,12
Rath Firebrand,11,Halfling,Paladino,14,8,9,8,14,13
Danis Starseeker,3,Tiefling,Guerreiro,12,18,16,14,9,11
Viconia Bloodaxe,10,Meio-Elfo,Bardo,14,13,14,17,8,10
Cora Starseeker,5,Tiefling,Paladino,16,18,17,12,17,8
Astarion Darkweaver,7,Meio-Elfo,Mago,15,13,12,8,8,8
Blurg Windrunner,5,Gnomo,Bruxo,13,8,14,13,13,13
Bex Sunstrider,5,Dragonborn,Mago,11,10,11,14,10,16
Abdirak Goldseeker,9,Gnomo,Clérigo,8,14,17,8,14,15
Omeluum Sunstrider,3,Orc,Guerreiro,13,17,14,16,15,19
Cora Stormwind,6,Meio-Elfo,Clérigo,10,10,9,14,12,9
Astarion Swiftfoot,1,Halfling,Paladino,13,10,14,8,12,16
Rath Brightwood,10,Githyanki,Bardo,13,10,11,10,19,15
Orin Nightbreeze,5,Dragonborn,Ladino,11,19,11,12,9,19
Bex Stoutbeard,8,Gnomo,Patrulheiro,9,14,8,11,15,16
Minsc Swiftfoot,5,Githyanki,Patrulheiro,16,11,19,9,17,11
Minsc Spellweaver,9,Elfo,Guerreiro,9,11,10,8,8,16
Minthara Anchev,11,Githyanki,Monge,10,10,12,11,17,9
Abdirak Cliffgate,6,Orc,Monge,17,17,12,14,16,8
Voss Ravengard,8,Orc,Mago,8,18,9,18,8,16
Roah Brightwood,10,Gnomo,Mago,14,16,11,11,8,17
Abdirak Ravengard,8,Githyanki,Patrulheiro,8,9,8,16,8,15
Viconia Stormwind,3,Anão,Feiticeiro,18,11,16,15,14,14
Sazza Goldseeker,7,Halfling,Bruxo,16,15,8,15,11,15
Shadowheart Brightwood,7,Elfo,Clérigo,18,13,13,12,19,19
Halsin Spellweaver,10,Meio-Elfo,Mago,18,14,14,19,14,8
Volothamp Spellweaver,12,Humano,Bardo,8,14,10,8,12,16
Nere Moonbreeze,6,Anão,Patrulheiro,12,9,19,16,19,19
Raphael Hallowtide,12,Elfo,Bruxo,14,11,8,9,14,17
Nere Del'Vyre,7,Elfo,Clérigo,10,17,14,13,17,18
Elminster Swiftfoot,2,Humano,Monge,16,17,10,17,14,16
Brem Anchev,9,Orc,Patrulheiro,15,13,17,12,11,19
Roah Nightbreeze,10,Elfo,Druida,10,10,19,17,9,18
Halsin Del'Vyre,10,Anão,Bruxo,12,16,19,15,15,16
Lae'zel Shadowdancer,1,Gnomo,Guerreiro,14,11,13,18,9,13
Brem Anchev,1,Tiefling,Mago,19,17,19,10,16,11
Mizora Sunstrider,3,Tiefling,Ladino,11,9,13,13,12,9
Ragzlin Swiftfoot,3,Tiefling,Mago,12,13,19,13,16,18
Danis Cliffgate,1,Anão,Clérigo,10,8,11,17,16,11
Abdirak Windrunner,12,Halfling,Patrulheiro,16,13,19,10,15,14
Dror Ironfist,7,Meio-Elfo,Monge,17,19,18,19,15,8
Bex Starseeker,4,Humano,Bruxo,16,17,13,19,11,16
Halsin Hallowtide,10,Dragonborn,Ladino,14,8,18,19,11,10
Elminster Firebrand,2,Orc,Feiticeiro,17,15,17,14,9,11
Barcus Cliffgate,10,Tiefling,Mago,9,12,11,18,11,19
Barcus Goldseeker,5,Githyanki,Paladino,14,13,15,11,11,12
Danis Brightwood,6,Orc,Druida,14,9,16,12,13,19
Dror Windrunner,9,Anão,Feiticeiro,18,9,9,16,10,10
Rath Goldseeker,4,Halfling,Paladino,12,19,14,13,9,11
Halsin Moonbreeze,2,Halfling,Druida,16,16,16,17,15,12
Astarion Darkweaver,5,Tiefling,Monge,19,10,16,11,9,19
Dammon Goldseeker,3,Githyanki,Bardo,18,13,19,15,15,8
Ketheric Del'Vyre,2,Dragonborn,Druida,10,17,12,16,14,16
Aradin Firebrand,12,Tiefling,Ladino,11,12,8,17,10,17
Cora Anchev,1,Humano,Druida,8,19,13,12,13,17
Alfira Stonefoot,10,Orc,Bruxo,13,11,15,9,13,11
Dammon Anchev,2,Gnomo,Mago,11,17,8,13,17,16
Aradin Windrunner,6,Orc,Mago,8,9,9,18,12,11
Ragzlin Del'Vyre,8,Githyanki,Monge,9,15,8,19,15,8
Ragzlin Cliffgate,3,Tiefling,Paladino,10,17,12,15,18,19
Aradin Firebrand,11,Humano,Paladino,16,14,9,12,19,12
Bhaal Swiftfoot,9,Githyanki,Bardo,15,18,17,8,12,16
Rath Brightwood,12,Meio-Elfo,Paladino,14,9,17,15,14,10
Alfira Ansur,9,Githyanki,Monge,18,13,11,16,13,12
Volothamp Shadowdancer,2,Anão,Druida,19,15,8,8,18,10
Astarion Cliffgate,8,Githyanki,Bardo,11,14,14,15,14,19
Gortash Brightwood,10,Dragonborn,Monge,8,8,15,17,16,10
Shadowheart Dekarios,11,Tiefling,Guerreiro,15,12,12,19,10,8
Dror Anchev,12,Anão,Clérigo,11,9,9,9,17,9
Aradin Dekarios,5,Githyanki,Paladino,10,13,15,11,14,9
Sazza Ansur,4,Anão,Ladino,16,14,8,9,17,16
Wyll Darkweaver,10,Humano,Mago,17,14,14,9,10,14
Astarion Nightbreeze,5,Gnomo,Clérigo,11,10,8,17,9,15
Jaheira Swiftfoot,4,Anão,Paladino,11,14,19,10,19,9
Ragzlin Stonefoot,8,Orc,Patrulheiro,16,12,13,15,14,16
Kagha Firebrand,4,Meio-Elfo,Feiticeiro,19,15,13,11,11,10
Gale Windrunner,10,Halfling,Monge,18,19,12,14,8,17
Dammon Darkweaver,12,Meio-Elfo,Bruxo,19,15,9,19,13,9
Minthara Shadowdancer,6,Githyanki,Druida,9,14,9,17,18,19
Minthara Stonefoot,2,Gnomo,Monge,19,13,16,10,13,8
Alfira Sunstrider,5,Meio-Elfo,Ladino,12,9,12,17,13,16
Raphael Windrunner,6,Halfling,Bardo,11,13,12,19,9,15
Mizora Dekarios,5,Dragonborn,Guerreiro,16,19,14,18,8,19
Cora Anchev,12,Dragonborn,Monge,19,18,13,10,10,18
Dror Nightbreeze,2,Gnomo,Monge,12,16,9,9,19,11
Dammon Silverfrond,7,Halfling,Monge,16,9,18,19,9,14
Halsin Ansur,4,Halfling,Clérigo,18,8,8,13,13,19
Ragzlin Spellweaver,8,Humano,Druida,16,18,12,13,19,10
Jaheira Silverfrond,7,Elfo,Druida,9,12,11,8,13,10
Astarion Dekarios,7,Anão,Druida,16,18,19,14,12,11
Gale Hallowtide,9,Gnomo,Patrulheiro,10,13,10,19,17,9
Brem Spellweaver,1,Tiefling,Clérigo,11,10,9,11,17,17
Cora Brightwood,10,Humano,Bruxo,8,15,17,18,12,11
Jaheira Dekarios,6,Dragonborn,Bardo,8,14,9,19,16,17
Blurg Darkweaver,6,Humano,Patrulheiro,8,9,11,10,12,10
Gale Ansur,6,Githyanki,Clérigo,16,19,9,15,17,15
Mizora Swiftfoot,12,Anão,Guerreiro,18,14,11,9,13,18
Dror Dekarios,6,Tiefling,Monge,15,8,10,16,18,9
Jaheira Brightwood,12,Gnomo,Druida,12,16,16,15,11,18
Raphael Silverfrond,10,Githyanki,Monge,12,14,14,15,17,16
Voss Bloodaxe,7,Elfo,Clérigo,16,13,18,10,8,10
Dammon Swiftfoot,10,Tiefling,Mago,10,9,19,11,11,11
Brem Cliffgate,6,Halfling,Ladino,10,10,10,9,9,17
Gortash Shadowdancer,1,Tiefling,Patrulheiro,14,8,15,9,17,17
Dammon Cliffgate,3,Humano,Bruxo,16,17,16,11,10,10
Bhaal Spellweaver,2,Orc,Druida,13,12,14,13,14,10
Wyll Swiftfoot,6,Githyanki,Guerreiro,9,16,13,12,14,15
Blurg Stormwind,8,Humano,Patrulheiro,8,13,11,8,8,15
Bex Windrunner,3,Halfling,Bardo,9,12,12,17,15,13
Gortash Stormwind,10,Dragonborn,Bruxo,8,19,15,8,14,11
Zevlor Del'Vyre,8,Humano,Bardo,17,10,10,13,8,8
Volothamp Goldseeker,8,Tiefling,Druida,17,12,9,10,15,11
Halsin Stonefoot,5,Elfo,Bardo,16,15,10,10,9,15
Minthara Nightbreeze,8,Tiefling,Clérigo,17,19,19,14,15,13
Halsin Firebrand,6,Tiefling,Ladino,19,9,14,8,10,9
Mizora Firebrand,5,Githyanki,Bardo,15,12,15,8,17,10
Cora Dekarios,9,Gnomo,Feiticeiro,14,13,8,17,14,19
Bex Brightwood,7,Anão,Feiticeiro,10,17,14,10,13,14
Alfira Darkweaver,8,Tiefling,Mago,15,15,16,15,12,18
Alfira Sunstrider,1,Tiefling,Bruxo,9,15,19,8,18,18
Omeluum Spellweaver,11,Anão,Mago,9,12,10,17,17,11
Ragzlin Ironfist,2,Elfo,Ladino,18,16,10,11,18,11
Volothamp Nightbreeze,8,Githyanki,Guerreiro,17,11,15,16,9,12
Shadowheart Brightwood,12,Dragonborn,Ladino,10,19,11,11,9,15
Astarion Swiftfoot,9,Halfling,Paladino,14,16,15,17,19,14
Karlach Stormwind,4,Halfling,Patrulheiro,8,18,12,15,8,16
Barcus Goldseeker,12,Humano,Mago,15,14,10,14,16,12
Viconia Silverfrond,10,Githyanki,Clérigo,19,13,11,10,18,8
Shadowheart Stoutbeard,11,Orc,Guerreiro,14,11,11,14,15,11
Gale Hallowtide,10,Dragonborn,Paladino,11,9,15,14,15,13
Cora Spellweaver,9,Halfling,Ladino,12,15,13,17,8,13
Sarevok Stonefoot,4,Orc,Feiticeiro,17,13,14,10,12,16
Barcus Starseeker,10,Gnomo,Druida,8,19,16,9,19,17
Karlach Firebrand,10,Orc,Patrulheiro,11,10,13,16,13,12
Blurg Goldseeker,10,Orc,Bardo,8,14,10,8,9,12
Sazza Firebrand,9,Dragonborn,Monge,8,17,10,14,17,13
Aradin Ansur,11,Gnomo,Bruxo,17,14,18,11,12,18
Minsc Nightbreeze,7,Orc,Feiticeiro,8,13,10,9,13,13
Raphael Bloodaxe,2,Anão,Druida,14,9,19,9,16,10
Voss Ravengard,9,Meio-Elfo,Mago,14,15,17,15,17,13
Danis Ironfist,4,Tiefling,Guerreiro,11,8,9,14,8,15
Brem Shadowdancer,8,Elfo,Guerreiro,19,8,8,19,17,19
Elminster Anchev,7,Tiefling,Monge,9,13,18,14,10,13
Minthara Stoutbeard,7,Humano,Guerreiro,19,12,17,12,19,19
Aradin Ironfist,8,Orc,Clérigo,10,16,8,17,16,18
Cora Stormwind,1,Halfling,Mago,15,19,11,15,8,12
Dammon Del'Vyre,5,Githyanki,Ladino,15,14,10,9,8,10
Elminster Ansur,2,Humano,Guerreiro,18,9,12,9,8,8
Elminster Ironfist,2,Dragonborn,Guerreiro,18,19,19,12,14,12
Gortash Shadowdancer,1,Githyanki,Ladino,13,14,16,8,12,13
Minsc Stormwind,5,Githyanki,Ladino,17,10,19,13,13,13
Rath Shadowdancer,2,Dragonborn,Paladino,16,8,15,11,15,13
Shadowheart Starseeker,4,Anão,Patrulheiro,18,18,19,13,9,10
Roah Swiftfoot,3,Tiefling,Patrulheiro,19,15,16,14,9,11
Kagha Stormwind,3,Humano,Patrulheiro,16,19,12,10,10,10
Minsc Cliffgate,2,Tiefling,Monge,11,10,15,18,10,9
Danis Darkweaver,6,Gnomo,Guerreiro,19,18,11,15,10,15
Wyll Dekarios,2,Halfling,Monge,8,15,12,14,11,14
Abdirak Silverfrond,8,Humano,Druida,8,14,19,8,10,18
Ragzlin Sunstrider,8,Dragonborn,Patrulheiro,19,19,10,13,9,15
Raphael Bloodaxe,12,Orc,Guerreiro,17,9,12,14,16,13
